Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
2024-02-07,IDN,fishing,16,235.41
2024-02-25,IDN,trawlers,9,170.19
2024-02-18,IDN,trawlers,11,179.17
2024-02-16,IDN,purse_seines,8,112.41
2024-02-21,IDN,purse_seines,13,162.94
2024-02-25,IDN,purse_seines,9,108.09
2024-02-24,IDN,purse_seines,13,220.81
2024-02-20,IDN,set_longlines,7,130.61
2024-02-15,IDN,set_longlines,6,114.32
2024-02-01,IDN,set_longlines,9,163.36
2024-02-09,IDN,other_seines,1,9.14
2024-02-26,IDN,other_seines,2,41.50
2024-02-12,JPN,drifting_longlines,2,48.40
2024-02-13,JPN,drifting_longlines,1,23.95
2024-02-14,JPN,drifting_longlines,1,24.00
2024-02-02,IDN,set_longlines,7,132.79
2024-02-12,IDN,set_longlines,4,101.64
2024-02-05,IDN,set_longlines,5,107.63
2024-02-22,IDN,set_longlines,8,160.09
2024-02-04,IDN,set_longlines,8,158.02
2024-02-10,IDN,set_longlines,9,164.37
2024-02-19,IDN,fishing,15,265.24
2024-02-19,IDN,drifting_longlines,7,136.27
2024-02-23,IDN,squid_jigger,4,44.34
2024-02-05,IDN,squid_jigger,8,101.43
2024-02-01,IDN,squid_jigger,7,87.85
2024-02-19,IDN,squid_jigger,5,33.44
2024-02-26,IDN,fishing,14,191.09
2024-02-15,IDN,purse_seines,8,117.46
2024-02-09,IDN,purse_seines,9,166.41
2024-02-14,IDN,purse_seines,11,240.81
2024-02-20,IDN,fishing,11,162.55
2024-02-24,IDN,fishing,15,234.70
2024-02-06,IDN,squid_jigger,9,73.53
2024-02-05,IDN,trawlers,17,305.90
2024-02-20,IDN,squid_jigger,5,35.96
2024-02-11,IDN,trawlers,13,262.16
2024-02-13,IDN,squid_jigger,1,23.75
2024-02-09,IDN,squid_jigger,4,47.92
2024-02-16,IDN,squid_jigger,1,25.07
2024-02-12,IDN,squid_jigger,2,36.52
2024-02-11,IDN,squid_jigger,2,14.84
2024-02-29,IDN,purse_seines,11,126.25
2024-02-03,IDN,fishing,15,354.56
2024-02-04,IDN,fishing,13,224.09
2024-02-20,PAN,dredge_fishing,1,16.77
2024-02-25,IDN,set_longlines,6,99.02
2024-02-12,IDN,purse_seines,9,151.07
2024-02-01,IDN,purse_seines,8,150.50
2024-02-07,IDN,purse_seines,9,124.35
2024-02-29,IDN,fishing,19,351.40
2024-02-13,IDN,fishing,12,211.47
2024-02-28,IDN,fishing,16,300.11
2024-02-23,IDN,set_gillnets,2,28.28
2024-02-13,IDN,set_gillnets,3,25.44
2024-02-21,IDN,set_gillnets,1,7.20
2024-02-10,IDN,set_gillnets,3,73.50
2024-02-09,IDN,set_gillnets,2,47.51
2024-02-04,IDN,set_gillnets,1,23.60
2024-02-08,IDN,set_gillnets,2,49.81
2024-02-28,IDN,drifting_longlines,4,75.17
2024-02-26,IDN,drifting_longlines,5,146.95
2024-02-18,IDN,fishing,12,167.82
2024-02-05,IDN,fishing,9,174.99
2024-02-02,IDN,pots_and_traps,1,4.53
2024-02-29,IDN,pots_and_traps,1,8.29
2024-02-21,IDN,pots_and_traps,1,37.41
2024-02-16,IDN,pots_and_traps,1,33.24
2024-02-25,IDN,pots_and_traps,1,11.18
2024-02-06,IDN,fishing,10,159.08
2024-02-23,IDN,fishing,15,335.48
